country;population;area;density_pop;coastline;migration;Infant_mortality;gdp;literacy;phones;arable;crops;other;climate;birthrate;death rate;agriculture;industry;service;happiness_score;gdp_h;social_support;health;freedom;generosity;government_trust;dystopia_residual;continent
Germany ;82422299;357021;230.9;0.67;2.18;4.16;27600;99.0;667.9;33.85;0.59;65.56;3;8.25;10.62;9;296;695;7.075799942000001;1.314184546;1.368543744;0.972114801;0.564274132;0.252037704;0.309362292;2.295249462;Europe
Ghana ;22409572;239460;93.6;0.23;-0.64;51.43;2200;74.8;14.4;16.26;9.67;74.07;2;30.52;9.72;366;246;387;5.1479997630000005;0.575862467;0.96636796;0.432162255;0.477290064;0.261291206;0.056570381;2.378437281;Africa
Greece ;10688058;131940;81.0;10.37;2.35;5.53;20000;97.5;589.7;21.1;8.78;70.12;3;9.68;10.24;54;213;733;5.514999866;1.128070116;1.168973565;0.979431748;0.173516348;0.0;0.048844352;2.016179085;Europe
Guatemala ;12293545;108890;112.9;0.37;-1.67;35.93;4100;70.6;92.1;12.54;5.03;82.43;2;29.88;5.2;227;188;585;6.398900032;0.7538157109999999;1.174267054;0.705952585;0.613146722;0.170611665;0.0983603;2.882723093;South America
Guinea ;9690222;245857;39.4;0.13;-3.06;90.37;2100;35.9;2.7;3.63;2.58;93.79;2;41.76;15.48;237;362;401;4.949299812;0.390007734;0.75136596;0.333655238;0.371878058;0.249490842;0.112204559;2.740729809;South America
Haiti ;8308504;27750;299.4;6.38;-3.4;73.45;1600;52.9;16.9;28.3;11.61;60.09;2;36.44;12.17;0.28;0.2;0.52;3.720799923;0.284734428;0.646671355;0.37436673;0.169297516;0.463909656;0.161935672;1.619916916;South America
Honduras ;7326496;112090;65.4;0.73;-1.99;29.32;2600;76.2;67.5;9.55;3.22;87.23;2;28.24;5.28;139;312;549;5.953199862999999;0.598763585;1.186664104;0.791989982;0.568148077;0.256528199;0.086807102;2.464295387;South America
Hungary ;9981334;93030;107.3;0.00;0.86;8.57;13900;99.4;336.2;50.09;2.06;47.85;3;9.72;13.11;37;312;651;6.000400066;1.164307117;1.423009396;0.806793869;0.386401802;0.070491239;0.027548173;2.121845722;Europe
Iceland ;299388;103000;2.9;4.83;2.38;3.31;30900;99.9;647.7;0.07;0;99.93;3;13.64;6.72;86;0.15;765;7.504499912000001;1.326501608;1.5475674869999998;1.000843406;0.661980748;0.362330228;0.14454077199999998;2.460688114;Europe
India ;1095351995;3287590;333.2;0.21;-0.07;56.29;2900;59.5;45.4;54.4;2.74;42.86;2.5;22.01;8.18;186;276;538;3.573299885;0.730576158;0.644198656;0.54057014;0.5811422470000001;0.237072483;0.105587982;0.7341308590000001;Asia
Indonesia ;245452739;1919440;127.9;2.85;0;35.6;3200;87.9;52.0;11.32;7.23;81.45;2;20.34;6.25;134;458;408;5.285600185;0.891720712;1.154800892;0.610437036;0.568161428;0.542646527;0.038278613;1.4795734880000002;Asia
Iran ;68688433;1648000;41.7;0.15;-0.84;41.58;7000;79.4;276.4;8.72;1.39;89.89;1;17;5.55;116;424;0.46;4.672399998;1.029322505;0.8862711790000001;0.749053836;0.301195472;0.27697894;0.142651513;1.286969423;Asia
Iraq ;26783383;437072;61.3;0.01;0;50.25;1500;40.4;38.6;13.15;0.78;86.07;1;31.98;5.37;73;666;261;4.7848000530000006;0.982018709;1.011466622;0.529350698;0.283588052;0.15300206800000002;0.073164992;1.752173662;Asia
Ireland ;4062235;70280;57.8;2.06;4.99;5.39;29600;98.0;500.5;15.2;0.03;84.77;3;14.45;7.82;0.05;0.46;0.49;7.093699932000001;1.446886778;1.470596433;0.975670695;0.587779939;0.295426995;0.373433262;1.943878174;Europe
Israel ;6352117;20770;305.8;1.31;0.68;7.03;19800;95.4;462.3;16.39;4.17;79.44;3;17.97;6.18;26;317;657;7.128600121;1.216463685;1.4032567740000002;1.008052945;0.420699477;0.26686179600000004;0.09989845;2.713358402;Asia
Italy ;58133509;301230;193.0;2.52;2.07;5.94;26700;98.6;430.9;27.79;9.53;62.68;;8.72;10.4;21;291;688;6.38740015;1.236396074;1.3472959999999998;1.022504926;0.321305573;0.17026621100000006;0.040145598;2.249505997;Europe
Jamaica ;2758124;10991;250.9;9.30;-4.92;12.36;3900;87.9;124.0;16.07;10.16;73.77;2;20.82;6.52;49;337;615;5.889800072000001;0.779058397;1.408289194;0.7884340879999999;0.553124607;0.116268493;0.030147785;2.214436531;South America
Japan ;127463611;377835;337.4;7.87;0;3.26;28200;99.0;461.2;12.19;0.96;86.85;3;9.37;9.16;17;258;725;5.870800018;1.26672411;1.332338691;1.072881341;0.495465875;0.03571178;0.181439638;1.4862003330000002;Asia
Jordan ;5906760;92300;64.0;0.03;6.59;17.35;4300;91.3;104.5;2.67;1.83;95.5;1;21.25;2.65;33;287;0.68;4.6333999630000005;0.785179198;1.140118599;0.777624726;0.424855083;0.091494769;0.151878625;1.262258053;Asia
Kazakhstan ;15233244;2717300;5.6;0.00;-3.35;29.21;6300;98.4;164.1;7.98;0.05;91.97;4;16;9.42;67;386;547;6.0578999520000005;1.122594237;1.453267694;0.6987889409999999;0.497432142;0.15371379300000002;0.110463686;2.021602631;Asia
Kenya ;34707817;582650;59.6;0.09;-0.1;61.47;1000;85.1;8.1;8.08;0.98;90.94;1.5;39.72;14.02;163;188;651;4.583000183;0.476413399;0.905077755;0.536312759;0.519180536;0.393902093;0.067201078;1.684904575;Africa
Kuwait ;2418393;17820;135.7;2.80;14.18;9.95;19000;83.5;211.0;0.73;0.11;99.16;1;21.94;2.41;4;479;516;6.102099895;1.424833655;1.244779825;0.776468933;0.5702614189999999;0.132751092;0.112814933;1.840167999;Asia
Kyrgyzstan ;5213898;198500;26.3;0.00;-2.45;35.64;1600;97.0;84.0;7.3;0.35;92.35;2.5;22.8;7.08;353;208;439;5.541500092000001;0.513180971;1.341036677;0.680645883;0.614617765;0.30137074;0.030466691;2.060206652;Asia
Latvia ;2274735;64589;35.2;0.82;-2.23;9.55;10200;99.8;321.4;29.67;0.47;69.86;3;9.24;13.66;0.04;261;699;5.949999809;1.14139545;1.414398789;0.7779024240000001;0.329198807;0.075407945;0.090391524;2.121283054;Europe
Lebanon ;3874050;10400;372.5;2.16;0;24.52;4800;87.4;255.6;16.62;13.98;69.4;;18.52;6.21;0.12;0.21;0.67;4.771500111;0.889232516;1.19249332;0.7886711359999999;0.18551667;0.158524141;0.021518147;1.53554225;Asia
Liberia ;3042004;111370;27.3;0.52;0;128.87;1000;57.5;2.3;3.95;2.28;93.77;2;44.77;23.1;769;54;177;4.557899952;0.174103007;0.920733929;0.392284274;0.405943096;0.226967871;0.051139876;2.386757851;Africa
Libya ;5900754;1759540;3.4;0.10;0;24.6;6400;82.6;127.1;1.03;0.19;98.78;;26.49;3.48;76;499;425;5.488800049;1.021913767;1.196283698;0.615626633;0.451354057;0.14275769900000002;0.17225807899999998;1.888563156;Africa
Lithuania ;3585906;65200;55.0;0.14;-0.71;6.89;11400;99.6;223.4;45.22;0.91;53.87;;8.75;10.98;55;325;0.62;6.215499877999999;1.193559647;1.432865739;0.795421183;0.42046079;0.053691041;0.081350274;2.238146067;Europe
Luxembourg ;474413;2586;183.5;0.00;8.97;4.81;55100;100.0;515.4;23.28;0.4;76.32;;11.94;8.41;0.01;0.13;0.86;7.237500191;1.536676049;1.387528419;0.986442685;0.610137045;0.19595392;0.367041469;2.153700352;Europe
Madagascar ;18595469;587040;31.7;0.82;0;76.83;800;68.9;3.6;5.07;1.03;93.91;2;41.41;11.11;276;165;559;4.165599823;0.244553208;0.823694348;0.500617027;0.192967549;0.191190064;0.076248638;2.136298418;Africa
Malawi ;13013926;118480;109.8;0.00;0;103.32;600;62.7;7.9;23.38;1.49;75.13;2;43.13;19.33;342;158;499;3.538000107;0.176534727;0.53036809;0.446163297;0.487389833;0.213185057;0.131633952;1.5527182819999998;Africa
Malaysia ;24385858;329750;74.0;1.42;0;17.7;9000;88.7;179.0;5.48;17.61;76.91;2;22.86;5.05;84;0.48;436;5.384300232;1.168421626;1.17400229;0.7885118720000001;0.596941531;0.274886161;0.062163133;1.319420815;Asia
Mali ;11716829;1240000;9.5;0.00;-0.33;116.79;900;46.4;6.4;3.82;0.03;96.15;2;49.82;16.89;0.45;0.17;0.38;4.729300021999999;0.352462649;0.97314173;0.234981522;0.377534449;0.16966705;0.062146275999999986;2.559335232;Africa
Malta ;400214;316;1266.5;62.28;2.07;3.89;17700;92.8;505.0;28.13;3.13;68.74;;10.22;8.1;0.03;0.23;0.74;6.7727999689999985;1.252513289;1.442956924;0.972042024;0.633239031;0.341180831;0.17886407699999998;1.952012062;Europe
Mauritania ;3177388;1030700;3.1;0.07;0;70.89;1800;41.7;12.9;0.48;0.01;99.51;1;40.99;12.16;0.25;0.29;0.46;4.374599934;0.539684892;1.113323569;0.425184816;0.185714483;0.128899664;0.122257635;1.85955739;Africa
