country;population;area;density_pop;coastline;migration;Infant_mortality;gdp;literacy;phones;arable;crops;other;climate;birthrate;death rate;agriculture;industry;service;happiness_score;gdp_h;social_support;health;freedom;generosity;government_trust;dystopia_residual;continent
Serbia ;9396411;88361;106.3;0.00;-1.33;12.89;2200;93.0;285.8;33.35;3.2;63.45;;;;166;255;579;5.77820015;0.988181829;1.327448964;0.828403294;0.395428419;0.15028289;0.059447147;2.0290400980000003;Europe
Sierra Leone ;6005250;71740;83.7;0.56;0;143.64;500;31.4;4.0;6.98;0.89;92.13;2;45.76;23.03;0.49;0.31;0.21;3.926399946;0.240560383;0.747984946;0.203953966;0.382027686;0.257647008;0.047940936;2.046271801;Africa
Singapore ;4492150;693;6482.2;27.85;11.53;2.29;23700;92.5;411.4;1.64;0;98.36;2;9.34;4.28;0;339;661;6.3770999910000015;1.519580126;1.39545691;1.137814283;0.635317206;0.218770906;0.533162236;0.937031746;Asia
Slovakia ;5439448;48845;111.4;0.00;0.3;7.41;13300;;220.1;30.16;2.62;67.22;3;10.65;9.45;35;294;672;6.280600071;1.194837689;1.424331188;0.853465259;0.423542529;0.116729774;0.011291441;2.256422043;Europe
Slovenia ;2010347;20273;99.2;0.23;1.12;4.45;19000;99.7;406.1;8.6;1.49;89.91;;8.98;10.31;28;369;603;6.363399982000001;1.208652496;1.464677691;0.932548046;0.646700144;0.145701498;0.076516323;1.888586521;Europe
South Africa ;44187637;1219912;36.2;0.23;-0.29;61.81;10700;86.4;107.0;12.08;0.79;87.13;1;18.2;22;25;303;671;4.814099789;0.902140439;1.259086251;0.407034069;0.43478182;0.12640684800000002;0.05950214;1.6251173019999998;Africa
South Korea;48846823;98480;496.0;2.45;0;7.05;17800;97.9;486.1;17.18;1.95;80.87;3;10;5.85;33;403;563;5.872399807000001;1.245300651;1.133560538;1.022542596;0.25935635;0.17030386600000005;0.094596282;1.946757078;Asia
Spain ;40397842;504782;80.0;0.98;0.99;4.42;22000;97.9;453.5;26.07;9.87;64.06;3;10.06;9.72;0.04;295;665;6.4008998870000005;1.230535269;1.421099186;1.051343083;0.425983816;0.16530548;0.109579779;1.997088432;Europe
Sri Lanka ;20222240;65610;308.2;2.04;-1.31;14.35;3700;92.3;61.5;13.86;15.7;70.44;2;15.51;6.52;178;276;545;4.327000141;0.897986948;1.19494009;0.792036712;0.528632462;0.25266614600000004;0.049444564;0.611288548;Asia
Sweden ;9016596;449964;20.0;0.72;1.67;2.77;26800;99.0;715.0;6.54;0.01;93.45;3;10.27;10.31;11;282;707;7.353499889;1.322235227;1.4333477019999998;0.986470461;0.6502977010000001;0.272827893;0.442066371;2.246299267;Europe
